OBJECTID,SurveyType,SpeciesName,Stage,Activity,AirTempF,Number of Individuals,SiteSubClass,Alive_Dead,Lon,Lat
737,Active,Northern Leopard Frog,Unkown,Thermoregulating,68,1,Golf Course,Alive,-75.15314372,44.59089156
738,Active,Bullfrog,Unkown,Thermoregulating,68,1,Golf Course,Alive,-75.15314934,44.59087074
739,Active,Bullfrog,Unkown,Thermoregulating,68,3,Golf Course,Alive,-75.15300634,44.59090774
740,Incidental,American Toad,Adult,moving ,67,1,Chapel,Alive,-75.16369142,44.5912673
741,Active,Green Frog,Adult,swimming ,55,1,Saddlemire Trail,Alive,-75.13998731,44.59061079
742,Active,Pickeral Frog,Adult,Thermoregulating ,55,1,Town Houses,Alive ,-75.15553882,44.5886036
743,Active,Green Frog,Unkown,Thermonregulating,55,1,Golf Course,Alive,-75.15460644,44.59066733
744,Active,Northern Leopard Frog,Jevenile,"Basking, moving, etc.",0,1,Golf Course,Alive,-75.1525232,44.59106245
745,Auditory,Northern Spring Peeper,Unkown,calling,55,1,Saddlemire Trail,Alive,-75.14421741,44.59168389
746,Road,Northern Leopard Frog,Jevenile,dead,55,1,Other,Dead,-75.13915172,44.59251525
747,,Gray Treefrog,Unkown,Thermoregulating,55,,Saddlemire Trail,Alive,-75.14496055,44.59212268
748,Road,Northern Leopard Frog,Adult,dead,55,1,Other,Dead,-75.1397574,44.59286283
749,Road,Pickeral Frog,Jevenile,dead,55,1,Other,Dead,-75.14009154,44.59305398
750,Active,American Toad,Adult,moving,55,1,Avenue of the Elms,Alive,-75.14729968,44.59368599
751,Active,Northern Leopard Frog,Adult,Thermoregulating,55,1,Golf Course,Alive,-75.15417125,44.59074444
752,Active,Bullfrog,Adult,"Basking, moving, etc.",0,1,Facilities Pond,Alive,-75.15934087,44.58618536
753,Active,Wood Frog,Jevenile,hopping,64,1,XC Trail,Alive,-75.16050622,44.58216664
754,Active,Wood Frog,Adult,hopping,64,2,XC Trail,Alive,-75.16089052,44.58195435
755,Other,Northern Spring Peeper,Adult,thermoregulating ,51,1,Town Houses,Alive,-75.1567398,44.58864571
756,Incidental,Gray Treefrog,Unkown,calling,51,1,Golf Course,Alive,-75.15613525,44.59047854
757,Incidental,Gray Treefrog,Unkown,Calling,51,1,Golf Course,Alive,-75.15697274,44.59220621
758,Other,American Toad,Jevenile,thermoregulating ,51,1,Avenue of the Elms,Alive,-75.15778374,44.59233076
759,Other,Unidentified Species,Unkown,jumping into water,58,3,Facilities Pond,Alive,-75.15807388,44.58599403
760,Active,Northern Spring Peeper,Unkown,"Basking, moving, etc.",69,4,Avenue of the Elms,Alive ,-75.15581259,44.59288292
761,Active,Unidentified Species,Unkown,Basking,69,3,Avenue of the Elms,Alive ,-75.15504347,44.59305252
762,Other,American Toad,Metamorph,Hiding in leaf litter ,57,1,XC Trail,Alive ,-75.15908573,44.58322872
763,Other,American Toad,Metamorph,Hiding under litter layer ,57,1,XC Trail,Alive ,-75.15919721,44.58304772
764,Active,Northern Leopard Frog,Adult,"Basking, moving, etc.",62,1,Other,Alive,-75.13818057,44.59059289
