OBJECTID,Date,SurveyType,SpeciesName,Stage,Activity,AirTempF,Number of Individuals,SiteSubClass,Alive_Dead,Lon,Lat
2648,9/22/15,Active,Northern Leopard Frog,Adult,Jumping,68,,Kip Tract,Aiive,-75.1517,44.5832
2649,9/22/15,Active,UNK,Juvenile,Sitting in water,68,,Kip Tract,Aiive,-75.1517,44.5832
2650,9/22/15,Active,Green Frog,Adult,sitting in creek,68,,Kip Tract,Aiive,-75.1517,44.5832
2651,9/22/15,Active,Green Frog,Adult,Hopping,72,,Avenue of Elm,Aiive,-75.1554,44.5926
2652,9/22/15,Active,Green Frog,Adult,Resting,72,,Avenue of Elm,Aiive,-75.1551,44.5927
2653,9/22/15,Active,Northern Leopard Frog,Adult,Hopping,72,,Avenue of Elm,Aiive,-75.1546,44.5927
2654,9/22/15,Active,UNK,Adult,Hopping,72,,Avenue of Elm,Aiive,-75.1542,44.5928
2655,9/23/15,Active,Bullfrog,Metamorph,Swimming,64,,Kip Track,Aiive,-75.1517,44.5831
2656,9/23/15,Active,Bullfrog,Metamorph,Swimming,64,,Kip Track,Aiive,-75.1517,44.5831
2657,9/23/15,Active,Bullfrog,Adult,Hopping,64,,Kip Track,Aiive,-75.1518,44.5831
2658,9/23/15,Active,Bullfrog,Metamorph,Swimming,64,,Kip Track,Aiive,-75.1519,44.5831
2659,9/23/15,Active,Green Frog,Adult,Hopping,65,,Kip Track,Aiive,-75.1519,44.5831
2660,9/23/15,Active,Mink Frog,Adult,Resting,65,,Kip Track,Aiive,-75.1518,44.5831
2661,9/23/15,Active,Bullfrog,Adult,Resting,66,,Kip Track,Aiive,-75.1518,44.5831
2662,9/23/15,Active,Bullfrog,Adult,Swimming,66,,Kip Track,Aiive,-75.1517,44.5831
2663,9/23/15,Active,Bullfrog,Adult,Hopping,66,,Kip Track,Aiive,-75.1529,44.5826
2664,9/23/15,Active  ,Green Frog,UNK,Resting,66,,Kip Track,Aiive,-75.1529,44.5826
2665,9/25/15,Active,Bullfrog,metamorph,Hopping,64,,Avenue of Elm,Aiive,-75.157,44.5922
2666,9/25/15,Active,Bullfrog,Adult,Hopping,64,,Avenue of Elm,Aiive,-75.157,44.5922
2667,9/25/15,Active,UNK,UNK,Hopping,62,,Golf course,Aiive,-75.156,44.5929
2668,9/25/15,Active,Mink Frog,Adult,Resting,61,,Golf course,Aiive,-75.1553,44.593
2669,9/25/15,Active,UNK,UNK,Hopping,61,,Golf course,Aiive,-75.1549,44.5931
2670,9/25/15,Active,Green Frog,Juvenile,Resting,59,,Golf course,Aiive,-75.1548,44.5932
2671,9/25/15,Active,Bullfrog,Adult,Hopping,58,,Golf course,Aiive,-75.1548,44.5933
2672,9/25/15,Active,UNK,UNK,Resting,58,,Golf course,Aiive,-75.1468,44.5879
2673,9/25/15,Active,UNK,UNK,Resting,57,,Golf course,Aiive,-75.1468,44.5879
2674,9/27/15,Active,UNK,UNK,Resting,75,2,Little River,Aiive,-75.1581,44.5808
2675,9/27/15,Active,UNK,UNK,UNK,75,,Little River,Aiive,-75.1581,44.5808
2676,9/27/15,Active,Bullfrog,Adult,UNK,75,,Little River,Aiive,-75.1581,44.5808
2677,9/27/15,Active,Green Frog,Metamorph,Resting,75,,Little River,Aiive,-75.1579,44.5807
2678,9/27/15,Active,Green Frog,Metamorph,Resting,75,0,Little River,Aiive,-75.158,44.5808
2679,10/10/15,Call,UNK,UNK,UNK,49,,Avenue of Elm,Aiive,-75.1484,44.5942
2680,10/11/15,Active,Mink Frog,Adult,Basking,64,,XC Trail,Aiive,-75.1653,44.5826
2681,10/11/15,Active,Green Frog,Adult,hopping,64,0,XC Trail,Aiive,-75.1659,44.5814
2682,10/11/15,Road,UNK,UNK,UNK,65,0,Miner Street (b/w athletics and XC trail),Aiive,-75.1662,44.5853
2683,10/11/15,Call,UNK,UNK,UNK,64,0,riverbank,Aiive,-75.1616,44.5812
2684,10/11/15,Active,UNK,UNK,UNK,64,,XC Trail,Aiive,-75.1614,44.5813
2685,10/11/15,Incidental,Bullfrog,Adult,Swimming,NA,,Kip Track,Aiive,-75.1517,44.5831
2686,10/11/15,Incidental,Bullfrog,Adult,Swimming,NA,,Kip Track,Aiive,-75.1519,44.5831
2687,10/12/15,active,Bullfrog,Adult,Sitting,63,,field,Aiive,-75.1387,44.5904
2688,10/12/15,Active,Green Frog,Adult,Basking,55,,Little Grasse Fishing Pull-off,Aiive,-75.1579,44.5835
2689,10/12/15,Active,UNK,Adult,Basking,55,,Little Grasse Fishing Pull-off,Aiive,-75.158,44.5834
2690,10/12/15,Active,UNK,Adult,Basking,55,,Little Grasse Fishing Pull-off,Aiive,-75.1581,44.5834
2691,10/12/15,Active,UNK,Adult,Basking,55,,Little Grasse Fishing Pull-off,Aiive,-75.1581,44.5834
2692,10/12/15,Active,Green Frog,Adult,Basking,55,,Little Grasse Fishing Pull-off,Aiive,-75.1581,44.5834
2693,10/12/15,Active,UNK,Adult,Basking,55,,Little Grasse Fishing Pull-off,Aiive,-75.158,44.5834
2694,10/12/15,Active,Green Frog,Adult,Basking,55,,Little Grasse Fishing Pull-off,Aiive,-75.158,44.5833
2695,10/12/15,Active,UNK,Adult,Basking,55,,Little Grasse Fishing Pull-off,Aiive,-75.158,44.5833
2696,10/12/15,Active,Green Frog,Adult,Resting,55,,Golf Course,Aiive,-75.1468,44.5879
2697,10/12/15,Active,Bullfrog,Adult,Resting,55,,Golf Course,Aiive,-75.1469,44.5878
2698,10/12/15,Active,Bullfrog,Adult,Resting,55,,Golf Course,Aiive,-75.1469,44.5878
2699,10/12/15,Active,Bullfrog,Adult,Resting,55,,Golf Course,Aiive,-75.147,44.5879
2700,10/12/15,Active,Green Frog,Adult,Resting,55,,Golf Course,Aiive,-75.1471,44.5878
2701,10/12/15,Active,Bullfrog,Adult,Hopping,55,,Golf Course,Aiive,-75.1495,44.588
2702,10/12/15,Active,UNK,Adult,Hopping,55,,Golf Course,Aiive,-75.1498,44.588
2703,10/12/15,Active,UNK,Adult,Dead,54,,Golf Course,Dead,-75.1497,44.588
2704,10/12/15,active,UNK,Adult,Leaping,nr,,field,Aiive,-75.1388,44.5906
2705,10/12/15,active,UNK,Adult,Leaping,nr,,field,Aiive,-75.1387,44.5908
2706,10/12/15,active,Bullfrog,Juvenile,Resting,nr,,field,Aiive,-75.139,44.591
2707,10/12/15,active,UNK,UNK,Leaping,nr,,field,Aiive,-75.138,44.5907
2708,10/12/15,incidental,UNK,UNK,Leaping,nr,,field,Aiive,-75.1381,44.5907
2709,10/12/15,incidental,UNK,UNK,Leaping,nr,,field,Aiive,-75.1387,44.5904
2710,10/12/15,Active,Bullfrog,Adult,Hopping,54,,Golf Course,Aiive,-75.1499,44.588
2711,10/13/15,Active,Northern Leopard Frog,Adult,Basking,55,,Kip Track,Aiive,-75.1553,44.5837
2712,10/13/15,Active,Green Frog,Adult,Basking,55,,Kip Track,Aiive,-75.1664,44.5832
2713,10/13/15,Active,Green Frog,Adult,Basking,55,0,Kip Track,Aiive,-75.1654,44.5824
2714,10/13/15,Road,UNK,UNK,UNK,53,,Road,Aiive,-75.1654,44.5908
2715,10/14/15,Active,Green Frog,Adult,hopping,52,,XC Trail,Aiive,-75.1657,44.5816
2716,10/14/15,Road,UNK,UNK,dead,51,,Road,Dead,-75.1583,44.5846
2717,10/14/15,Road,UNK,UNK,dead,52,,Road,Dead,-75.1588,44.5849
2718,10/14/15,Road,UNK,UNK,dead,52,,Road,Dead,-75.1596,44.5856
2719,10/14/15,Active,Bullfrog,Adult,Sitting/Leaping,57,0,ESL wetland,Aiive,-75.1359,44.5935
